fecha_hecho,delito,sexo,edad,colonia_catalogo,alcaldia_catalogo,latitud,longitud,anio_hecho,mes_hecho,dia_hecho,indice_alcaldia,,
18/03/2018,USURPACIÓN DE IDENTIDAD,0,26,Infonavit Iztacalco,Iztacalco,19.38692851,-99.10718974,2018,3,18,6.00,,
20/03/2018,USURPACIÓN DE IDENTIDAD,1,65,Barrio 18,Xochimilco,19.27868644,-99.11347546,2018,3,20,14.00,,
26/03/2018,USURPACIÓN DE IDENTIDAD,0,81,Doctores,Cuauhtémoc,19.41792,-99.14838,2018,3,26,4.00,,
31/03/2018,USURPACIÓN DE IDENTIDAD,1,29,Granada,Miguel Hidalgo,19.44058,-99.18655,2018,3,31,9.00,,
01/04/2018,USURPACIÓN DE IDENTIDAD,0,43,Pueblo San Sebastian Tecoloxtitla,Iztapalapa,19.36054,-99.01598,2018,4,1,7.00,,
01/04/2018,USURPACIÓN DE IDENTIDAD,0,37,Del Carmen,Coyoacán,19.35566765,-99.15853072,2018,4,1,2.00,,
01/04/2018,USURPACIÓN DE IDENTIDAD,0,48,Constitucion De 1917,Iztapalapa,19.34655792,-99.06339678,2018,4,1,7.00,,
04/04/2018,USURPACIÓN DE IDENTIDAD,0,46,Roma Norte,Cuauhtémoc,19.42174,-99.16683,2018,4,4,4.00,,
06/04/2018,USURPACIÓN DE IDENTIDAD,0,46,Forestal I,Gustavo A. Madero,19.56488105,-99.12709977,2018,4,6,5.00,,
09/04/2018,USURPACIÓN DE IDENTIDAD,1,33,Romero De Terreros,Coyoacán,19.34591,-99.17518,2018,4,9,2.00,,
12/04/2018,USURPACIÓN DE IDENTIDAD,1,39,Heroes De Churubusco,Iztapalapa,19.35974,-99.11967,2018,4,12,7.00,,
17/04/2018,USURPACIÓN DE IDENTIDAD,1,28,Del Valle Centro,Benito Juárez,19.38993144,-99.17362377,2018,4,17,1.00,,
18/04/2018,USURPACIÓN DE IDENTIDAD,0,53,Anzures,Miguel Hidalgo,19.42549048,-99.17771459,2018,4,18,9.00,,
20/04/2018,USURPACIÓN DE IDENTIDAD,1,30,Toriello Guerra,Tlalpan,19.29203,-99.16016,2018,4,20,11.00,,
23/04/2018,USURPACIÓN DE IDENTIDAD,0,57,Ampliacion Tepepan,Xochimilco,19.26494,-99.1308,2018,4,23,14.00,,
24/04/2018,USURPACIÓN DE IDENTIDAD,1,50,San Juan De Aragon Vi Seccion,Gustavo A. Madero,19.46581195,-99.06867178,2018,4,24,5.00,,
26/04/2018,USURPACIÓN DE IDENTIDAD,1,49,Barrio San Lucas,Iztapalapa,19.35932,-99.09183,2018,4,26,7.00,,
30/04/2018,USURPACIÓN DE IDENTIDAD,0,38,Federal,Venustiano Carranza,19.41925,-99.09079,2018,4,30,13.00,,
